dish,ingredients,allergens
Pizza,"cheese,wheat,tomato","dairy,gluten"
Burger,"bread,cheese,chicken","gluten,dairy"
Pad Thai,"noodles,peanuts,soy sauce","peanuts,gluten,soy"
Veg Salad,"lettuce,tomato,cucumber",""
Chicken Alfredo,"chicken,cream,cheese,pasta","dairy,gluten"
Peanut Noodles,"noodles,peanuts,oil","peanuts,gluten"
Grilled Cheese Sandwich,"bread,cheese,butter","gluten,dairy"
Pancakes,"flour,milk,egg,sugar","gluten,dairy,egg"
Omelette,"egg,butter,cheese","egg,dairy"
Fried Rice,"rice,soy sauce,vegetables","soy"
Chocolate Cake,"flour,egg,milk,chocolate","gluten,egg,dairy"
Ice Cream,"milk,sugar,flavoring","dairy"
Butter Chicken,"chicken,butter,cream","dairy"
Cheese Pasta,"pasta,cheese,cream","gluten,dairy"
Soy Tofu Stir Fry,"tofu,soy sauce,vegetables","soy"
Shrimp Fry,"shrimp,oil,spices","shellfish"
Fish Curry,"fish,spices,oil","fish"
Egg Fried Rice,"rice,egg,soy sauce","egg,soy"
Veg Burger,"bread,vegetables,sauce","gluten"
Chicken Sandwich,"bread,chicken,mayonnaise","gluten,egg"
Milkshake,"milk,sugar,flavor","dairy"
French Toast,"bread,egg,milk","gluten,egg,dairy"
Donuts,"flour,sugar,egg,butter","gluten,egg,dairy"
Cheesecake,"cheese,egg,sugar","dairy,egg"
Protein Bar,"nuts,soy,protein","peanuts,soy"
Granola,"oats,nuts,honey","gluten,peanuts"
Veg Pizza,"cheese,wheat,vegetables","dairy,gluten"
Chicken Pizza,"chicken,cheese,wheat","dairy,gluten"
Paneer Curry,"paneer,spices,cream","dairy"
Dal Fry,"lentils,spices,oil",""
Veg Biryani,"rice,vegetables,spices",""
Chicken Biryani,"rice,chicken,spices",""
Fish Fry,"fish,oil,spices","fish"
Prawn Curry,"prawns,spices,oil","shellfish"
Tofu Salad,"tofu,vegetables","soy"
Veg Soup,"vegetables,spices",""
Chicken Soup,"chicken,spices",""
Corn Soup,"corn,cream","dairy"
Mac and Cheese,"pasta,cheese,milk","gluten,dairy"
Lasagna,"pasta,cheese,meat","gluten,dairy"
Nachos,"corn,cheese","dairy"
Tacos,"wheat,meat,cheese","gluten,dairy"
Hot Dog,"bread,meat","gluten"
Muffins,"flour,egg,milk","gluten,egg,dairy"
Cupcake,"flour,egg,butter","gluten,egg,dairy"
Brownie,"chocolate,flour,egg","gluten,egg"
Milk Bread,"flour,milk","gluten,dairy"
Butter Naan,"flour,butter","gluten,dairy"
Roti,"wheat,water","gluten"
Paratha,"wheat,butter","gluten,dairy"
Idli,"rice,urad dal",""
Dosa,"rice,urad dal",""
Masala Dosa,"rice,potato",""
Upma,"semolina,vegetables","gluten"
Poha,"rice,peanuts","peanuts"
Samosa,"flour,potato","gluten"
Pakora,"gram flour,vegetables",""
Chole Bhature,"chickpeas,flour","gluten"
Rajma,"kidney beans,spices",""
Kheer,"milk,rice,sugar","dairy"
Gulab Jamun,"milk,sugar","dairy"
Rasgulla,"milk,sugar","dairy"
Lassi,"milk,yogurt","dairy"
Paneer Tikka,"paneer,spices","dairy"
Chicken Tikka,"chicken,spices",""
Egg Curry,"egg,spices","egg"
Fish Tikka,"fish,spices","fish"
Prawn Fry,"prawns,oil","shellfish"
Veg Roll,"bread,vegetables","gluten"
Chicken Roll,"bread,chicken","gluten"
Spring Rolls,"flour,vegetables","gluten"
Hakka Noodles,"noodles,soy sauce","gluten,soy"
Manchurian,"soy sauce,vegetables","soy"
Chilli Chicken,"chicken,soy sauce","soy"
Fried Chicken,"chicken,flour","gluten"
Popcorn Chicken,"chicken,flour","gluten"
Veg Manchow Soup,"vegetables,soy sauce","soy"
Chicken Manchow Soup,"chicken,soy sauce","soy"
Veg Sandwich,"bread,vegetables","gluten"
Club Sandwich,"bread,egg,meat","gluten,egg"
BLT Sandwich,"bread,bacon","gluten"
Caesar Salad,"lettuce,cheese","dairy"
Greek Salad,"cheese,vegetables","dairy"
Fruit Salad,"fruits",""
Smoothie,"milk,fruits","dairy"
Protein Shake,"milk,protein","dairy"
Energy Bar,"nuts,honey","peanuts"
Trail Mix,"nuts,dried fruits","peanuts"
Peanut Butter Sandwich,"bread,peanut butter","gluten,peanuts"
Almond Milk,"almonds","tree nuts"
Cashew Curry,"cashews,spices","tree nuts"
Walnut Cake,"walnuts,flour,egg","tree nuts,gluten,egg"
Hazelnut Chocolate,"hazelnuts,chocolate","tree nuts"